"id","postTitle","facebookUrl","profileId","profileName","date","text"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzEzMDg4NzI4NDAwMjI4MjY=","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid02hVj2e2cxQEEp8UsnQKsxHk8fb8TD15fZF5ZFcGnNNnT9iqXN1wdpsbp7zkwKjqLZl","Wahyu Soetisna","2023-05-31T01:43:45.000Z","Keren sih ini, logonya minimalis tpi bermakna. Semoga setiap daerah jg bisa punya logo2 minimalist seperti ini"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzczMTU5OTM1NTQxMDk4Ng==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid026r3JqJMAhseVtZYDQprcaJ7DUKqA6X3EqfpVnbn3Wm4x3SKHWi3AAhmJM9m8DTD1l","M Norman Ardiansyah","2023-05-30T12:44:36.000Z","Yg milih paling simpatisan halahhhh"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzM0OTU2MjQ2MzQwOTQ5NTc=","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","100010570933574","Hik Karyo Tumpuk","2023-05-30T14:56:43.000Z","Logo nya kurang greget pak coba rakyat kasih pilihan"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1Xzc3NDM5NDk4MDg0Nzk3NQ==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0saKxptybZ9b2T5xgjcFjVZ9aERroTYYkeczmq6Sf56gVCWnmVJkXiGZCBLkVpoPul","Mas Ongen","2023-05-30T12:38:17.000Z","Logo yg sgt bagus, sebab bermakna dari pohon atau tumbuhan yg artinya kehidupan, bila dikaji jauh tentang logo ini tentu Tujuannya adalah kemakmuran negara dan kesejahteraan rakyat Indonesia trims"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzE2Mzc2NzQ4MDM0MDQ4NTU=","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0dbYxtHpmLoTj6ieMa9JSrKoAw4oKDqUFHzKUNKw6r2yodYGGemZCsfGVsWBEpAiJl","Aditya Ilhami Anwar","2023-06-03T08:49:10.000Z","Ya bagus seni mendapatkan apresiasi lebih. Tetapi pengaplikasian nya yang terlalu dipaksakan, bangun proyek harus dipoles pakai logo tersebut. Logo tersebut dapat menambah popularitas IKN? Logo tersebut dapat meningkatkan ekonomi masyarakat? Logo tersebut digunakan seumur hayat atau diubah tiap beda Presiden?

Nanti setiap proyek pemerintah bisa jadi harus buat logo khusus, yang tentunya jadi keluar biaya tambahan lagi puluhan juta hingga milyaran rupiah hanya untuk 1 logo (uang negara keluar bukan cuma untuk hadiah pemenang, tetapi proses sayembara dan iklan nya juga dihitung). Pada akhirnya membangun bukan karena kewajiban sebagai pemimpin dan peduli dengan masyarakat dan negara, tetapi malah sebagai alat politik untuk pencitraan dan agar bisa dikenang oleh masyarakat."
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzU4MTQ4Njg2NzQ1MDE0MA==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid026r3JqJMAhseVtZYDQprcaJ7DUKqA6X3EqfpVnbn3Wm4x3SKHWi3AAhmJM9m8DTD1l","M Norman Ardiansyah","2023-05-30T12:44:51.000Z","Gak bangga sama sekali."
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1Xzc3MzE3NzkwNzc3ODAyNw==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0GwWxxG2CxuysxefihXNStJcGzSj8p47ptq9tJY7W9jRXi9CzQP1DmVkF1dcuYgxEl","Jum Aiyah","2023-05-31T14:54:04.000Z","TIDAQ ENEQ GAMBAR DI LAYAR TETV.MU*QU,NYA,,,"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzI2NDAxOTM3Mjg0ODMyOA==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid02ZXSPnuBrmiCeX5uPqAzRiC5JCZSoZjkPCAFXWWXezNRncSLqW2DbAVD1TGJBr3hwl","Muhammad Hanafiah","2023-05-30T23:46:32.000Z","https://www.pwdpiaceh.com/2023/05/asnlf-meminta-pemerintah-indonesia.html"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzIwMDk4NTc2MjYwMjA5OTk=","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","100000883505444","Meldhie Cahya Dinata","2023-05-30T12:33:20.000Z","Nanti klo anies jd presiden bakal di audit tuh proyek"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzI1MzA1MTMzNzM3ODEyNw==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid04tTqcyxpUPejJxEi5nSKFAn8gtmewdnsP156TFZPNx35j3bmsqcYtDozDiEPgQRVl","Subhan Djunaid","2023-05-30T12:55:40.000Z","Tidak ada urgensinya membangun IKN, sama dengan kereta api cepat. Cuman buat gaya doang.."
