id,postTitle,facebookUrl,profileId,profileName,date,text,manual_sentiment
Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1Xzc3Mzc3OTE1MTEyMTQ5Ng==,"Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...",https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/,pfbid02fwJKgDhZiBpMrvpg3djD874VZ445ttnNNW9WhuMzHbzX63ZWvYExfNNApPqzgYjHl,Ardiwae Ardiwae,2023-05-31T10:02:43.000Z,Heyyy jika memang presiden ini bodoh jangan lagi memilih nya... karena makin susah dan makin amburadul,negative
Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1Xzc3NDM5NDk4MDg0Nzk3NQ==,"Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...",https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/,pfbid0saKxptybZ9b2T5xgjcFjVZ9aERroTYYkeczmq6Sf56gVCWnmVJkXiGZCBLkVpoPul,Mas Ongen,2023-05-30T12:38:17.000Z,"Logo yg sgt bagus, sebab bermakna dari pohon atau tumbuhan yg artinya kehidupan, bila dikaji jauh tentang logo ini tentu Tujuannya adalah kemakmuran negara dan kesejahteraan rakyat Indonesia trims",positive
Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzE2Mzc2NzQ4MDM0MDQ4NTU=,"Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...",https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/,pfbid0dbYxtHpmLoTj6ieMa9JSrKoAw4oKDqUFHzKUNKw6r2yodYGGemZCsfGVsWBEpAiJl,Aditya Ilhami Anwar,2023-06-03T08:49:10.000Z,"Ya bagus seni mendapatkan apresiasi lebih. Tetapi pengaplikasian nya yang terlalu dipaksakan, bangun proyek harus dipoles pakai logo tersebut. Logo tersebut dapat menambah popularitas IKN? Logo tersebut dapat meningkatkan ekonomi masyarakat? Logo tersebut digunakan seumur hayat atau diubah tiap beda Presiden?

Nanti setiap proyek pemerintah bisa jadi harus buat logo khusus, yang tentunya jadi keluar biaya tambahan lagi puluhan juta hingga milyaran rupiah hanya untuk 1 logo (uang negara keluar bukan cuma untuk hadiah pemenang, tetapi proses sayembara dan iklan nya juga dihitung). Pada akhirnya membangun bukan karena kewajiban sebagai pemimpin dan peduli dengan masyarakat dan negara, tetapi malah sebagai alat politik untuk pencitraan dan agar bisa dikenang oleh masyarakat.",neutral
Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzEzMDg4NzI4NDAwMjI4MjY=,"Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...",https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/,pfbid02hVj2e2cxQEEp8UsnQKsxHk8fb8TD15fZF5ZFcGnNNnT9iqXN1wdpsbp7zkwKjqLZl,Wahyu Soetisna,2023-05-31T01:43:45.000Z,"Keren sih ini, logonya minimalis tpi bermakna. Semoga setiap daerah jg bisa punya logo2 minimalist seperti ini",positive
Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzI1MzA1MTMzNzM3ODEyNw==,"Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...",https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/,pfbid04tTqcyxpUPejJxEi5nSKFAn8gtmewdnsP156TFZPNx35j3bmsqcYtDozDiEPgQRVl,Subhan Djunaid,2023-05-30T12:55:40.000Z,"Tidak ada urgensinya membangun IKN, sama dengan kereta api cepat. Cuman buat gaya doang..",negative
Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzM0OTU2MjQ2MzQwOTQ5NTc=,"Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...",https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/,100010570933574,Hik Karyo Tumpuk,2023-05-30T14:56:43.000Z,Logo nya kurang greget pak coba rakyat kasih pilihan,neutral
Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzU4MTQ4Njg2NzQ1MDE0MA==,"Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...",https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/,pfbid026r3JqJMAhseVtZYDQprcaJ7DUKqA6X3EqfpVnbn3Wm4x3SKHWi3AAhmJM9m8DTD1l,M Norman Ardiansyah,2023-05-30T12:44:51.000Z,Gak bangga sama sekali.,negative
Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzYxNzA2MzMxMDM1ODIzOA==,"Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...",https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/,pfbid0Ssbmp6cGGup3hdA89cip5Sf5w8eC4YUw3Zzf3D9HczqzorauoTGnG1RzgxVJfTK5l,Ibnu Kosim,2023-05-31T04:02:29.000Z,Logo halal Malu lihat logo ini,negative
Y29tbWVudDo2NDY2NzQ0MzYwMDQ2NTI3Xzc1NjQzMzQ0NjIzMzI2MA==,"Presiden Joko Widodo resmi mengumumkan logo untuk Ibu Kota Nusantara (IKN) hari ini, Selasa (30/5/2023) sore. Peluncuran dilakukan di Istana Negara,...",https://fb.watch/kTc1OI_TU8/?mibextid=6aamW6,pfbid0VJvDAMEdb1GJ8PH4N565pYmjXupoggMdcr97Re1XzC5aT9AbEgdh5KpJbDya9xUzl,Purnama Tasya,2023-05-31T07:37:17.000Z,Kacoy2 IKN itu buat opo kalo cum ngrusak alam dan tatanan aja,negative
Y29tbWVudDo2NDY2NzQ0MzYwMDQ2NTI3Xzc2NDU2MjI3NTQxODI5Ng==,"Presiden Joko Widodo resmi mengumumkan logo untuk Ibu Kota Nusantara (IKN) hari ini, Selasa (30/5/2023) sore. Peluncuran dilakukan di Istana Negara,...",https://fb.watch/kTc1OI_TU8/?mibextid=6aamW6,pfbid0339LGCsHBwHsVhqWQQCzNuxmQojbhTVrgQwrjTDYVwkdA4ES2rCP6f4nkgLr5y1WEl,Silvers Rayliegh,2023-05-31T01:34:04.000Z,LOGO itu buat apa..,neutral
